"Composed name","River basin","Identifier","Names","genus","subfamily","family","suborder","order","subclass","class","subphylum","phylum","kingdom","superkingdom","Cluster"
"LGC_DC1959 Trichomycterus tantalus","DC","1959","Trichomycterus tantalus","Trichomycterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
"LGC_DC2674 Clarias gariepinnus","DC","2674","Clarias gariepinnus","Clarias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
"LGC_DC8102 Characidium krenak","DC","8102","Characidium krenak","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"LGC_DC7221 Oreochromis niloticus","DC","7221","Oreochromis niloticus","Oreochromis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"LGC_DC1046 Moenkhausia vittata","DC","1046","Moenkhausia vittata","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"LGC_DC3747 Brycon opalinus","DC","3747","Brycon opalinus","Brycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"LGC_DC7953 Coptodon rendalli","DC","7953","Coptodon rendalli","Coptodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"LGC_DC8101 Characidium krenak","DC","8101","Characidium krenak","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"LGC_DC5719 Characidium sp.","DC","5719","Characidium sp.","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"LGC_DC5742 Characidium sp.","DC","5742","Characidium sp.","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"LGC_DC8063 Psalidodon gr. scabripinnis","DC","8063","Psalidodon gr. scabripinnis","Psalidodon","Stethaprioninae","Characidae","Characoidei","Characiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",42
"LGC_DC7379 Pimelodus maculatus","DC","7379","Pimelodus maculatus","Pimelodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"LGC_DC7309 Hoplias intermedius","DC","7309","Hoplias intermedius","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"LGC_DC4617 Gymnotus aff. carapo","DC","4617","Gymnotus aff. carapo","Gymnotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"LGC_DC4582 Crenicichla (Lacustria) lacustris","DC","4582","Crenicichla (Lacustria) lacustris","Crenicichla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"LGC_DC7495 Pachyurus adspersus","DC","7495","Pachyurus adspersus","Pachyurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"LGC_AZ0003A Moenkhausia conspicua","AZ","0003A","Moenkhausia conspicua","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"LGC_AZ0015A Moenkhausia comma","AZ","0015A","Moenkhausia comma","Moenkhausia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"LGC_AZ0020A Anablepsoides urophthalmus","AZ","0020A","Anablepsoides urophthalmus","Anablepsoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"LGC_AZ0028A Satanoperca jurupari","AZ","0028A","Satanoperca jurupari","Satanoperca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"LGC_AZ0055A Synbranchus madeirae","AZ","0055A","Synbranchus madeirae","Synbranchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"LGC_AZ0069A Apistogramma taeniata","AZ","0069A","Apistogramma taeniata","Apistogramma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"LGC_AZ0084A Melanocharacidium dispilomma","AZ","0084A","Melanocharacidium dispilomma","Melanocharacidium","Characidiinae","Crenuchidae","Characoidei","Characiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",68
"LGC_AZ0089A Characidium pteroides","AZ","0089A","Characidium pteroides","Characidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
"LGC_AZ0102A Chilodus cf. puntactus","AZ","0102A","Chilodus cf. puntactus","Chilodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
"LGC_AZ0136A Erythrinus erythrinus","AZ","0136A","Erythrinus erythrinus","Erythrinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"LGC_AZ0155A Crenuchus spirulus","AZ","0155A","Crenuchus spirulus","Crenuchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"LGC_AZ0172A Sternopygus macrurus","AZ","0172A","Sternopygus macrurus","Sternopygus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
"LGC_SF5322 Salminus franciscanus","SF","5322","Salminus franciscanus","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_SF5525 Salminus franciscanus","SF","5525","Salminus franciscanus","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_JQ7090 Nematocharax venustus","JQ","7090","Nematocharax venustus","Nematocharax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"LGC_SF4792 Clarias gariepinus","SF","4792","Clarias gariepinus","Clarias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116
"LGC_SF0758 Megaleporinus obtusidens","SF","0758","Megaleporinus obtusidens","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_SF0759 Megaleporinus obtusidens","SF","0759","Megaleporinus obtusidens","Megaleporinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81
"LGC_SF5831 Salminus hilarii","SF","5831","Salminus hilarii","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_SF2338 Salminus hilarii","SF","2338","Salminus hilarii","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_SF2306 Salminus hilarii","SF","2306","Salminus hilarii","Salminus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"LGC_SF1311 Serrapinnus heterodon","SF","1311","Serrapinnus heterodon","Serrapinnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF1312 Serrapinnus heterodon","SF","1312","Serrapinnus heterodon","Serrapinnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF1313 Serrapinnus heterodon","SF","1313","Serrapinnus heterodon","Serrapinnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"LGC_SF2008 Apareiodon piracicabae","SF","2008","Apareiodon piracicabae","Apareiodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"LGC_SF2011 Apareiodon piracicabae","SF","2011","Apareiodon piracicabae","Apareiodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"LGC_SF2014 Apareiodon piracicabae","SF","2014","Apareiodon piracicabae","Apareiodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74
"LGC_SF2591 Glanidium albescens","SF","2591","Glanidium albescens","Glanidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
"LGC_SF2507 Glanidium albescens","SF","2507","Glanidium albescens","Glanidium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
"LGC_SF2584 Hypostomus francisci","SF","2584","Hypostomus francisci","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_SF2585 Hypostomus francisci","SF","2585","Hypostomus francisci","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_SF2586 Hypostomus francisci","SF","2586","Hypostomus francisci","Hypostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
"LGC_JQ0439 Harttia garavelloi","JQ","0439","Harttia garavelloi","Harttia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
"LGC_SF1207 Acestrorhynchus britskii","SF","1207","Acestrorhynchus britskii","Acestrorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"LGC_SF1296 Otocinclus xakriaba","SF","1296","Otocinclus xakriaba","Otocinclus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
"LGC_SF1297 Otocinclus xakriaba","SF","1297","Otocinclus xakriaba","Otocinclus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
"LGC_SF1382 Hemigrammus marginatus","SF","1382","Hemigrammus marginatus","Hemigrammus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"LGC_SF1398 Bryconops affinis","SF","1398","Bryconops affinis","Bryconops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"LGC_SF1399 Bryconops affinis","SF","1399","Bryconops affinis","Bryconops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
